"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"95","194037310002","1940373100","1940373",2,2,1,0,12,6,0,2000,0,0,0,0,0,0,0,0,0,0,0
"96","194037329001","1940373290","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","194037316001","1940373160","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","194037316002","1940373160","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","194037314001","1940373140","1940373",2,2,1,0,11,7,0,5000,0,0,0,0,0,0,0,0,0,0,0
"100","194037314002","1940373140","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","194037321002","1940373210","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","194037321001","1940373210","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","194037306002","1940373060","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","194037325002","1940373250","1940373",2,2,1,0,12,7,0,3000,0,0,0,0,0,0,0,0,0,0,0
"105","194037325001","1940373250","1940373",2,2,1,0,12,7,0,3000,0,0,0,0,0,0,0,0,0,0,15
"106","194037345002","1940373450","1940373",2,2,1,0,10,7,0,4000,0,0,0,0,0,0,0,0,0,0,0
"107","194037345001","1940373450","1940373",2,2,1,0,10,7,0,2800,0,0,0,0,0,0,0,0,0,0,0
"108","194037308001","1940373080","1940373",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","194037307001","1940373070","1940373",2,2,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","194037307002","1940373070","1940373",2,2,1,0,4,7,0,0,0,0,0,1300,0,0,0,0,0,0,0
"111","194037326001","1940373260","1940373",2,2,1,0,12,7,0,1900,0,0,0,0,0,0,0,0,0,0,0
"112","194037326002","1940373260","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","194037348001","1940373480","1940373",2,2,1,0,10,6,0,3000,0,0,0,0,0,0,0,0,0,0,0
"114","194037348002","1940373480","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","194037317001","1940373170","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","194037328001","1940373280","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","194037347002","1940373470","1940373",2,2,1,0,12,3,0,3000,0,0,0,0,0,0,0,0,0,0,0
"118","194037347001","1940373470","1940373",2,2,1,0,10,7,0,0,0,0,0,2000,0,0,0,0,0,0,0
"119","194037344001","1940373440","1940373",2,2,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","194037344002","1940373440","1940373",2,2,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","194037341001","1940373410","1940373",2,2,1,0,12,6,0,3200,0,0,0,0,0,0,0,0,0,0,15
"122","194037341002","1940373410","1940373",2,2,1,0,12,7,0,1800,0,0,0,0,0,0,0,0,0,0,0
"123","194037324001","1940373240","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","194037324002","1940373240","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","194037302002","1940373020","1940373",2,2,1,0,10,7,0,800,0,0,0,0,0,0,0,0,0,0,0
"126","194037302001","1940373020","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","194037343001","1940373430","1940373",2,2,1,0,12,7,0,3000,0,0,0,0,0,0,0,0,0,0,0
"128","194037332001","1940373320","1940373",2,2,1,0,12,7,0,3500,0,0,0,0,0,0,0,0,0,0,0
"129","194037332002","1940373320","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","194037335002","1940373350","1940373",2,2,1,0,10,7,0,4200,0,0,0,0,0,0,0,0,0,0,0
"131","194037335001","1940373350","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","194037327002","1940373270","1940373",2,2,1,0,7,7,0,3000,0,0,0,0,0,0,0,0,0,0,0
"133","194037327001","1940373270","1940373",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","194037346002","1940373460","1940373",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","194037346001","1940373460","1940373",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","194037330002","1940373300","1940373",2,2,1,0,10,7,0,4000,0,0,0,0,0,0,0,0,0,0,0
