ID,householdID,ga002,ga003s3,ga003s5,ga003s6,ga004_w3_1s1,ga004_w3_1s3,ga004_w3_1s5
064028207002,0640282070,25000,NA,NA,NA,NA,NA,NA
064028207001,0640282070,NA,NA,NA,NA,NA,NA,NA
064028217001,0640282170,NA,NA,NA,NA,NA,NA,NA
064028217002,0640282170,NA,NA,NA,NA,NA,NA,NA
064028223001,0640282230,140000,NA,NA,NA,NA,NA,NA
064028205001,0640282050,NA,NA,NA,NA,NA,NA,NA
064028203001,0640282030,NA,NA,NA,NA,NA,NA,NA
064028203002,0640282030,NA,NA,NA,NA,NA,NA,NA
064028213001,0640282130,NA,NA,NA,NA,NA,NA,NA
064028221001,0640282210,24000,NA,NA,NA,NA,NA,NA
064028221002,0640282210,24000,NA,NA,NA,NA,NA,NA
064028226001,0640282260,NA,NA,NA,NA,NA,NA,NA
064028226002,0640282260,NA,NA,NA,NA,NA,NA,NA
064028204003,0640282040,NA,NA,NA,NA,NA,NA,NA
064028204002,0640282040,NA,NA,NA,NA,NA,NA,NA
064028220001,0640282200,NA,NA,NA,NA,NA,NA,NA
064028206001,0640282060,NA,NA,NA,NA,NA,NA,NA
064028216001,0640282160,NA,NA,NA,NA,NA,NA,NA
064028209001,0640282090,NA,NA,NA,NA,NA,NA,NA
064028209002,0640282090,NA,NA,NA,NA,NA,NA,NA
064028219002,0640282190,NA,NA,NA,NA,NA,NA,NA
064028219001,0640282190,NA,NA,NA,NA,NA,NA,NA
064028211001,0640282110,NA,NA,NA,NA,NA,NA,NA
064028224002,0640282240,50000,NA,NA,NA,NA,NA,NA
064028224001,0640282240,60000,NA,NA,NA,NA,NA,NA
064028214001,0640282140,NA,NA,NA,NA,NA,NA,NA
064028202001,0640282020,NA,NA,NA,NA,NA,NA,NA
064033321001,0640333210,25000,NA,NA,NA,NA,NA,NA
064033321002,0640333210,NA,NA,NA,NA,NA,NA,NA
064033327001,0640333270,NA,NA,NA,NA,NA,NA,NA
064033327002,0640333270,NA,NA,NA,NA,NA,NA,NA
064033325001,0640333250,NA,NA,NA,NA,NA,NA,NA
064033325002,0640333250,NA,NA,NA,NA,NA,NA,NA
064033322001,0640333220,NA,NA,NA,NA,NA,NA,NA
064033322002,0640333220,NA,NA,NA,NA,NA,NA,NA
064033330002,0640333300,NA,NA,NA,NA,NA,NA,NA
